Manticore 3.4.2 69033058@200410 release
Copyright (c) 2001-2016, Andrew Aksyonoff
Copyright (c) 2008-2016, Sphinx Technologies Inc (http://sphinxsearch.com)
collected 144000 docs, 386.3 MB
collected 145000 docs, 389.0 MB
collected 146000 docs, 391.6 MB
collected 147000 docs, 394.1 MB
collected 148000 docs, 396.4 MB
collected 149000 docs, 399.2 MB
collected 150000 docs, 402.2 MB
collected 151000 docs, 405.5 MB
collected 152000 docs, 409.2 MB
collected 153000 docs, 413.0 MB
collected 154000 docs, 416.5 MB
collected 155000 docs, 419.7 MB
collected 156000 docs, 422.8 MB
collected 157000 docs, 426.4 MB
collected 158000 docs, 429.4 MB
collected 159000 docs, 432.6 MB
collected 160000 docs, 435.6 MB
collected 161000 docs, 438.8 MB
collected 162000 docs, 442.0 MB
collected 163000 docs, 445.2 MB
collected 163622 docs, 447.1 MB
collected 164000 docs, 448.3 MB
collected 165000 docs, 451.5 MB
collected 166000 docs, 454.5 MB
collected 167000 docs, 456.9 MB
collected 168000 docs, 459.5 MB
collected 169000 docs, 462.0 MB
collected 170000 docs, 464.2 MB
collected 171000 docs, 466.8 MB
collected 172000 docs, 469.1 MB
collected 173000 docs, 471.3 MB
collected 174000 docs, 473.6 MB
collected 175000 docs, 475.7 MB
collected 176000 docs, 478.0 MB
collected 177000 docs, 480.6 MB
collected 178000 docs, 483.1 MB
collected 179000 docs, 485.2 MB
collected 180000 docs, 487.0 MB
collected 181000 docs, 490.1 MB
collected 182000 docs, 493.2 MB
collected 183000 docs, 496.0 MB
collected 184000 docs, 498.4 MB
collected 185000 docs, 501.0 MB
collected 186000 docs, 503.7 MB
collected 187000 docs, 506.1 MB
collected 188000 docs, 508.5 MB
collected 189000 docs, 510.6 MB
collected 190000 docs, 512.8 MB
collected 191000 docs, 515.0 MB
collected 192000 docs, 517.4 MB
collected 193000 docs, 519.4 MB
collected 194000 docs, 521.6 MB
collected 195000 docs, 523.9 MB
collected 196000 docs, 526.1 MB
collected 197000 docs, 528.4 MB
collected 198000 docs, 530.5 MB
collected 199000 docs, 532.8 MB
collected 200000 docs, 534.9 MB
collected 201000 docs, 537.1 MB
collected 202000 docs, 539.4 MB
collected 203000 docs, 541.7 MB
collected 204000 docs, 543.8 MB
collected 205000 docs, 545.9 MB
collected 206000 docs, 548.2 MB
collected 207000 docs, 550.4 MB
collected 208000 docs, 552.4 MB
collected 209000 docs, 554.5 MB
collected 210000 docs, 556.6 MB
collected 211000 docs, 558.9 MB
collected 211239 docs, 559.4 MB
collected 212000 docs, 561.2 MB
collected 213000 docs, 563.7 MB
collected 214000 docs, 566.3 MB
collected 215000 docs, 568.8 MB
collected 216000 docs, 571.2 MB
collected 217000 docs, 573.9 MB
collected 218000 docs, 576.2 MB
collected 219000 docs, 578.7 MB
collected 220000 docs, 581.3 MB
collected 221000 docs, 583.7 MB
collected 222000 docs, 586.4 MB
collected 223000 docs, 588.7 MB
collected 224000 docs, 590.9 MB
collected 225000 docs, 593.5 MB
collected 226000 docs, 596.1 MB
collected 227000 docs, 599.3 MB
collected 228000 docs, 602.3 MB
collected 229000 docs, 605.4 MB
WARNING: document 229315, attribute json: syntax error, unexpected TOK_IDENT, expecting ']' or ',' near 'http://cts.businesswire.com/ct/CT?id=smartlink&url=https%3A%2F%2Fwww.otsuka-us.com%2Fmedia%2Fstatic%2FJYNARQUE-PI.pdf&esheet=51794393&newsitemid=20180424006422&lan=en-US&anchor=FULL+PRESCRIBING+INFORMATION&index=8&md5=8b82b0ab2152c278234dc55a3ab2ba14", "http://cts.businesswire.com/ct/CT?id=smartlink&url=https%3A%2F%2Fwww.otsuka.co.jp%2Fen&esheet=51794393&newsitemid=20180424006422&lan=en-US&anchor=https%3A%2F%2Fwww.otsuka.co.jp%2Fen&index=11&md5=22a77f1839c0a68cc4473ea77e359bf8", "http://cts.businesswire.com/ct/CT?id=smartlink&url=http%3A%2F%2Fwww.otsukapatientassistance.com&esheet=51794393&newsitemid=20180424006422&lan=en-US&anchor=www.otsukapatientassistance.com&index=10&md5=f8860d4b19f3e4c043cc583af1a170e9", "http://cts.businesswire.com/ct/CT?id=smartlink&url=http%3A%2F%2Fwww.JYNARQUEhcp.com&esheet=51794393&newsitemid=20180424006422&lan=en-US&anchor=www.JYNARQUEhcp.com&index=6&md5=2df42660dcf14906232bcc0db3220e9

collected 230000 docs, 608.7 MB
collected 231000 docs, 611.9 MB
collected 232000 docs, 615.3 MB
collected 233000 docs, 618.3 MB
collected 234000 docs, 621.2 MB
collected 235000 docs, 624.3 MB
collected 236000 docs, 627.8 MB
collected 237000 docs, 631.5 MB
collected 238000 docs, 634.5 MB
collected 239000 docs, 637.5 MB
collected 240000 docs, 639.7 MB
collected 241000 docs, 642.4 MB
collected 242000 docs, 645.1 MB
collected 243000 docs, 648.3 MB
collected 244000 docs, 651.2 MB
collected 245000 docs, 654.1 MB
collected 246000 docs, 657.9 MB
collected 247000 docs, 661.5 MB
collected 248000 docs, 666.2 MB
collected 249000 docs, 670.4 MB
collected 249050 docs, 670.7 MB
collected 250000 docs, 674.6 MB
collected 251000 docs, 678.4 MB
collected 252000 docs, 682.7 MB
collected 253000 docs, 686.3 MB
collected 254000 docs, 690.3 MB
collected 255000 docs, 694.1 MB
collected 256000 docs, 697.5 MB
collected 257000 docs, 701.3 MB
collected 258000 docs, 704.6 MB
collected 259000 docs, 707.6 MB
collected 260000 docs, 710.6 MB
collected 261000 docs, 714.1 MB
collected 262000 docs, 718.2 MB
collected 263000 docs, 722.0 MB
collected 264000 docs, 725.9 MB
collected 265000 docs, 730.0 MB
collected 266000 docs, 734.2 MB
collected 267000 docs, 738.0 MB
collected 268000 docs, 742.4 MB
collected 269000 docs, 746.4 MB
collected 270000 docs, 750.2 MB
collected 270000 docs, 750.2 MB

creating lookup: 10.0 Kdocs, 3.7% done
creating lookup: 20.0 Kdocs, 7.4% done
creating lookup: 30.0 Kdocs, 11.1% done
creating lookup: 40.0 Kdocs, 14.8% done
creating lookup: 50.0 Kdocs, 18.5% done
creating lookup: 60.0 Kdocs, 22.2% done
creating lookup: 70.0 Kdocs, 25.9% done
creating lookup: 80.0 Kdocs, 29.6% done
creating lookup: 90.0 Kdocs, 33.3% done
creating lookup: 100.0 Kdocs, 37.0% done
creating lookup: 110.0 Kdocs, 40.7% done
creating lookup: 120.0 Kdocs, 44.4% done
creating lookup: 130.0 Kdocs, 48.1% done
creating lookup: 140.0 Kdocs, 51.9% done
creating lookup: 150.0 Kdocs, 55.6% done
creating lookup: 160.0 Kdocs, 59.3% done
creating lookup: 170.0 Kdocs, 63.0% done
creating lookup: 180.0 Kdocs, 66.7% done
creating lookup: 190.0 Kdocs, 70.4% done
creating lookup: 200.0 Kdocs, 74.1% done
creating lookup: 210.0 Kdocs, 77.8% done
creating lookup: 220.0 Kdocs, 81.5% done
creating lookup: 230.0 Kdocs, 85.2% done
creating lookup: 240.0 Kdocs, 88.9% done
creating lookup: 250.0 Kdocs, 92.6% done
creating lookup: 260.0 Kdocs, 96.3% done
creating lookup: 270.0 Kdocs, 100.0% done
creating lookup: 270.0 Kdocs, 100.0% done

creating histograms: 0.0 Kdocs, 0.0% done
creating histograms: 10.0 Kdocs, 3.7% done
creating histograms: 20.0 Kdocs, 7.4% done
creating histograms: 30.0 Kdocs, 11.1% done
creating histograms: 40.0 Kdocs, 14.8% done
creating histograms: 50.0 Kdocs, 18.5% done
creating histograms: 60.0 Kdocs, 22.2% done
creating histograms: 70.0 Kdocs, 25.9% done
creating histograms: 80.0 Kdocs, 29.6% done
creating histograms: 90.0 Kdocs, 33.3% done
creating histograms: 100.0 Kdocs, 37.0% done
creating histograms: 110.0 Kdocs, 40.7% done
creating histograms: 120.0 Kdocs, 44.4% done
creating histograms: 130.0 Kdocs, 48.1% done
creating histograms: 140.0 Kdocs, 51.9% done
creating histograms: 150.0 Kdocs, 55.6% done
creating histograms: 160.0 Kdocs, 59.3% done
creating histograms: 170.0 Kdocs, 63.0% done
creating histograms: 180.0 Kdocs, 66.7% done
creating histograms: 190.0 Kdocs, 70.4% done
creating histograms: 200.0 Kdocs, 74.1% done
creating histograms: 210.0 Kdocs, 77.8% done
creating histograms: 220.0 Kdocs, 81.5% done
creating histograms: 230.0 Kdocs, 85.2% done
creating histograms: 240.0 Kdocs, 88.9% done
creating histograms: 250.0 Kdocs, 92.6% done
creating histograms: 260.0 Kdocs, 96.3% done
creating histograms: 270.0 Kdocs, 100.0% done

sorted 1.0 Mhits, 0.8% done
sorted 2.0 Mhits, 1.6% done
sorted 3.0 Mhits, 2.5% done
sorted 4.0 Mhits, 3.3% done
sorted 5.0 Mhits, 4.1% done
sorted 6.0 Mhits, 4.9% done
sorted 7.0 Mhits, 5.7% done
sorted 8.0 Mhits, 6.6% done
sorted 9.0 Mhits, 7.4% done
sorted 10.0 Mhits, 8.2% done
sorted 11.0 Mhits, 9.0% done
sorted 12.0 Mhits, 9.8% done
sorted 13.0 Mhits, 10.7% done
sorted 14.0 Mhits, 11.5% done
sorted 15.0 Mhits, 12.3% done
sorted 16.0 Mhits, 13.1% done
sorted 17.0 Mhits, 13.9% done
sorted 18.0 Mhits, 14.8% done
sorted 19.0 Mhits, 15.6% done
sorted 20.0 Mhits, 16.4% done
sorted 21.0 Mhits, 17.2% done
sorted 22.0 Mhits, 18.1% done
sorted 23.0 Mhits, 18.9% done
sorted 24.0 Mhits, 19.7% done
sorted 25.0 Mhits, 20.5% done
sorted 26.0 Mhits, 21.3% done
sorted 27.0 Mhits, 22.2% done
sorted 28.0 Mhits, 23.0% done
sorted 29.0 Mhits, 23.8% done
sorted 30.0 Mhits, 24.6% done
sorted 31.0 Mhits, 25.4% done
sorted 32.0 Mhits, 26.3% done
sorted 33.0 Mhits, 27.1% done
sorted 34.0 Mhits, 27.9% done
sorted 35.0 Mhits, 28.7% done
sorted 36.0 Mhits, 29.5% done
sorted 37.0 Mhits, 30.4% done
sorted 38.0 Mhits, 31.2% done
sorted 39.0 Mhits, 32.0% done
sorted 40.0 Mhits, 32.8% done
sorted 41.0 Mhits, 33.6% done
sorted 42.0 Mhits, 34.5% done
sorted 43.0 Mhits, 35.3% done
sorted 44.0 Mhits, 36.1% done
sorted 45.0 Mhits, 36.9% done
sorted 46.0 Mhits, 37.7% done
sorted 47.0 Mhits, 38.6% done
sorted 48.0 Mhits, 39.4% done
sorted 49.0 Mhits, 40.2% done
sorted 50.0 Mhits, 41.0% done
sorted 51.0 Mhits, 41.8% done
sorted 52.0 Mhits, 42.7% done
sorted 53.0 Mhits, 43.5% done
sorted 54.0 Mhits, 44.3% done
sorted 55.0 Mhits, 45.1% done
sorted 56.0 Mhits, 45.9% done
sorted 57.0 Mhits, 46.8% done
sorted 58.0 Mhits, 47.6% done
sorted 59.0 Mhits, 48.4% done
sorted 60.0 Mhits, 49.2% done
sorted 61.0 Mhits, 50.1% done
sorted 62.0 Mhits, 50.9% done
sorted 63.0 Mhits, 51.7% done
sorted 64.0 Mhits, 52.5% done
sorted 65.0 Mhits, 53.3% done
sorted 66.0 Mhits, 54.2% done
sorted 67.0 Mhits, 55.0% done
sorted 68.0 Mhits, 55.8% done
sorted 69.0 Mhits, 56.6% done
sorted 70.0 Mhits, 57.4% done
sorted 71.0 Mhits, 58.3% done
sorted 72.0 Mhits, 59.1% done
sorted 73.0 Mhits, 59.9% done
sorted 74.0 Mhits, 60.7% done
sorted 75.0 Mhits, 61.5% done
sorted 76.0 Mhits, 62.4% done
sorted 77.0 Mhits, 63.2% done
sorted 78.0 Mhits, 64.0% done
sorted 79.0 Mhits, 64.8% done
sorted 80.0 Mhits, 65.6% done
sorted 81.0 Mhits, 66.5% done
sorted 82.0 Mhits, 67.3% done
sorted 83.0 Mhits, 68.1% done
sorted 84.0 Mhits, 68.9% done
sorted 85.0 Mhits, 69.7% done
sorted 86.0 Mhits, 70.6% done
sorted 87.0 Mhits, 71.4% done
sorted 88.0 Mhits, 72.2% done
sorted 89.0 Mhits, 73.0% done
sorted 90.0 Mhits, 73.8% done
sorted 91.0 Mhits, 74.7% done
sorted 92.0 Mhits, 75.5% done
sorted 93.0 Mhits, 76.3% done
sorted 94.0 Mhits, 77.1% done
sorted 95.0 Mhits, 77.9% done
sorted 96.0 Mhits, 78.8% done
sorted 97.0 Mhits, 79.6% done
sorted 98.0 Mhits, 80.4% done
sorted 99.0 Mhits, 81.2% done
sorted 100.0 Mhits, 82.1% done
sorted 101.0 Mhits, 82.9% done
sorted 102.0 Mhits, 83.7% done
sorted 103.0 Mhits, 84.5% done
sorted 104.0 Mhits, 85.3% done
sorted 105.0 Mhits, 86.2% done
sorted 106.0 Mhits, 87.0% done
sorted 107.0 Mhits, 87.8% done
sorted 108.0 Mhits, 88.6% done
sorted 109.0 Mhits, 89.4% done
sorted 110.0 Mhits, 90.3% done
sorted 111.0 Mhits, 91.1% done
sorted 112.0 Mhits, 91.9% done
sorted 113.0 Mhits, 92.7% done
sorted 114.0 Mhits, 93.5% done
sorted 115.0 Mhits, 94.4% done
sorted 116.0 Mhits, 95.2% done
sorted 117.0 Mhits, 96.0% done
sorted 118.0 Mhits, 96.8% done
sorted 119.0 Mhits, 97.6% done
sorted 120.0 Mhits, 98.5% done
sorted 121.0 Mhits, 99.3% done
sorted 121.9 Mhits, 100.0% done

total 270000 docs, 750169507 bytes

total 86.512 sec, 8671188 bytes/sec, 3120.92 docs/sec

total 147 reads, 0.339 sec, 2947.9 kb/call avg, 2.3 msec/call avg

total 2786 writes, 0.880 sec, 475.9 kb/call avg, 0.3 msec/call avg

rotating indices: successfully sent SIGHUP to searchd (pid=1).

