Manticore 3.4.2 69033058@200410 release
Copyright (c) 2001-2016, Andrew Aksyonoff
Copyright (c) 2008-2016, Sphinx Technologies Inc (http://sphinxsearch.com)
sorted 30.0 Mhits, 79.8% done
sorted 31.0 Mhits, 82.4% done
sorted 32.0 Mhits, 85.1% done
sorted 33.0 Mhits, 87.7% done
sorted 34.0 Mhits, 90.4% done
sorted 35.0 Mhits, 93.0% done
sorted 36.0 Mhits, 95.7% done
sorted 37.0 Mhits, 98.4% done
sorted 37.6 Mhits, 100.0% done

total 90000 docs, 230739932 bytes

total 26.494 sec, 8708897 bytes/sec, 3396.90 docs/sec

total 49 reads, 0.103 sec, 2820.9 kb/call avg, 2.1 msec/call avg

total 907 writes, 0.288 sec, 467.2 kb/call avg, 0.3 msec/call avg

rotating indices: successfully sent SIGHUP to searchd (pid=1).

