Manticore 3.4.2 69033058@200410 release
Copyright (c) 2001-2016, Andrew Aksyonoff
Copyright (c) 2008-2016, Sphinx Technologies Inc (http://sphinxsearch.com)
collected 144000 docs, 386.3 MB
collected 145000 docs, 389.0 MB
collected 146000 docs, 391.6 MB
collected 147000 docs, 394.1 MB
collected 148000 docs, 396.4 MB
collected 149000 docs, 399.2 MB
collected 150000 docs, 402.2 MB
collected 151000 docs, 405.5 MB
collected 152000 docs, 409.2 MB
collected 153000 docs, 413.0 MB
collected 154000 docs, 416.5 MB
collected 155000 docs, 419.7 MB
collected 156000 docs, 422.8 MB
collected 157000 docs, 426.4 MB
collected 158000 docs, 429.4 MB
collected 159000 docs, 432.6 MB
collected 160000 docs, 435.6 MB
collected 161000 docs, 438.8 MB
collected 162000 docs, 442.0 MB
collected 163000 docs, 445.2 MB
collected 163622 docs, 447.1 MB
collected 164000 docs, 448.3 MB
collected 165000 docs, 451.5 MB
collected 166000 docs, 454.5 MB
collected 167000 docs, 456.9 MB
collected 168000 docs, 459.5 MB
collected 169000 docs, 462.0 MB
collected 170000 docs, 464.2 MB
collected 171000 docs, 466.8 MB
collected 172000 docs, 469.1 MB
collected 173000 docs, 471.3 MB
collected 174000 docs, 473.6 MB
collected 175000 docs, 475.7 MB
collected 176000 docs, 478.0 MB
collected 177000 docs, 480.6 MB
collected 178000 docs, 483.1 MB
collected 179000 docs, 485.2 MB
collected 180000 docs, 487.0 MB
collected 181000 docs, 490.1 MB
collected 182000 docs, 493.2 MB
collected 183000 docs, 496.0 MB
collected 184000 docs, 498.4 MB
collected 185000 docs, 501.0 MB
collected 186000 docs, 503.7 MB
collected 187000 docs, 506.1 MB
collected 188000 docs, 508.5 MB
collected 189000 docs, 510.6 MB
collected 190000 docs, 512.8 MB
collected 191000 docs, 515.0 MB
collected 192000 docs, 517.4 MB
collected 193000 docs, 519.4 MB
collected 194000 docs, 521.6 MB
collected 195000 docs, 523.9 MB
collected 196000 docs, 526.1 MB
collected 197000 docs, 528.4 MB
collected 198000 docs, 530.5 MB
collected 199000 docs, 532.8 MB
collected 200000 docs, 534.9 MB
collected 201000 docs, 537.1 MB
collected 202000 docs, 539.4 MB
collected 203000 docs, 541.7 MB
collected 204000 docs, 543.8 MB
collected 205000 docs, 545.9 MB
collected 206000 docs, 548.2 MB
collected 207000 docs, 550.4 MB
collected 208000 docs, 552.4 MB
collected 209000 docs, 554.5 MB
collected 210000 docs, 556.6 MB
collected 210000 docs, 556.6 MB

creating lookup: 10.0 Kdocs, 4.8% done
creating lookup: 20.0 Kdocs, 9.5% done
creating lookup: 30.0 Kdocs, 14.3% done
creating lookup: 40.0 Kdocs, 19.0% done
creating lookup: 50.0 Kdocs, 23.8% done
creating lookup: 60.0 Kdocs, 28.6% done
creating lookup: 70.0 Kdocs, 33.3% done
creating lookup: 80.0 Kdocs, 38.1% done
creating lookup: 90.0 Kdocs, 42.9% done
creating lookup: 100.0 Kdocs, 47.6% done
creating lookup: 110.0 Kdocs, 52.4% done
creating lookup: 120.0 Kdocs, 57.1% done
creating lookup: 130.0 Kdocs, 61.9% done
creating lookup: 140.0 Kdocs, 66.7% done
creating lookup: 150.0 Kdocs, 71.4% done
creating lookup: 160.0 Kdocs, 76.2% done
creating lookup: 170.0 Kdocs, 81.0% done
creating lookup: 180.0 Kdocs, 85.7% done
creating lookup: 190.0 Kdocs, 90.5% done
creating lookup: 200.0 Kdocs, 95.2% done
creating lookup: 210.0 Kdocs, 100.0% done
creating lookup: 210.0 Kdocs, 100.0% done

creating histograms: 0.0 Kdocs, 0.0% done
creating histograms: 10.0 Kdocs, 4.8% done
creating histograms: 20.0 Kdocs, 9.5% done
creating histograms: 30.0 Kdocs, 14.3% done
creating histograms: 40.0 Kdocs, 19.0% done
creating histograms: 50.0 Kdocs, 23.8% done
creating histograms: 60.0 Kdocs, 28.6% done
creating histograms: 70.0 Kdocs, 33.3% done
creating histograms: 80.0 Kdocs, 38.1% done
creating histograms: 90.0 Kdocs, 42.9% done
creating histograms: 100.0 Kdocs, 47.6% done
creating histograms: 110.0 Kdocs, 52.4% done
creating histograms: 120.0 Kdocs, 57.1% done
creating histograms: 130.0 Kdocs, 61.9% done
creating histograms: 140.0 Kdocs, 66.7% done
creating histograms: 150.0 Kdocs, 71.4% done
creating histograms: 160.0 Kdocs, 76.2% done
creating histograms: 170.0 Kdocs, 81.0% done
creating histograms: 180.0 Kdocs, 85.7% done
creating histograms: 190.0 Kdocs, 90.5% done
creating histograms: 200.0 Kdocs, 95.2% done
creating histograms: 210.0 Kdocs, 100.0% done

sorted 1.0 Mhits, 1.1% done
sorted 2.0 Mhits, 2.2% done
sorted 3.0 Mhits, 3.3% done
sorted 4.0 Mhits, 4.4% done
sorted 5.0 Mhits, 5.5% done
sorted 6.0 Mhits, 6.6% done
sorted 7.0 Mhits, 7.7% done
sorted 8.0 Mhits, 8.8% done
sorted 9.0 Mhits, 10.0% done
sorted 10.0 Mhits, 11.1% done
sorted 11.0 Mhits, 12.2% done
sorted 12.0 Mhits, 13.3% done
sorted 13.0 Mhits, 14.4% done
sorted 14.0 Mhits, 15.5% done
sorted 15.0 Mhits, 16.6% done
sorted 16.0 Mhits, 17.7% done
sorted 17.0 Mhits, 18.8% done
sorted 18.0 Mhits, 19.9% done
sorted 19.0 Mhits, 21.0% done
sorted 20.0 Mhits, 22.1% done
sorted 21.0 Mhits, 23.2% done
sorted 22.0 Mhits, 24.3% done
sorted 23.0 Mhits, 25.4% done
sorted 24.0 Mhits, 26.5% done
sorted 25.0 Mhits, 27.6% done
sorted 26.0 Mhits, 28.7% done
sorted 27.0 Mhits, 29.9% done
sorted 28.0 Mhits, 31.0% done
sorted 29.0 Mhits, 32.1% done
sorted 30.0 Mhits, 33.2% done
sorted 31.0 Mhits, 34.3% done
sorted 32.0 Mhits, 35.4% done
sorted 33.0 Mhits, 36.5% done
sorted 34.0 Mhits, 37.6% done
sorted 35.0 Mhits, 38.7% done
sorted 36.0 Mhits, 39.8% done
sorted 37.0 Mhits, 40.9% done
sorted 38.0 Mhits, 42.0% done
sorted 39.0 Mhits, 43.1% done
sorted 40.0 Mhits, 44.2% done
sorted 41.0 Mhits, 45.3% done
sorted 42.0 Mhits, 46.4% done
sorted 43.0 Mhits, 47.5% done
sorted 44.0 Mhits, 48.7% done
sorted 45.0 Mhits, 49.8% done
sorted 46.0 Mhits, 50.9% done
sorted 47.0 Mhits, 52.0% done
sorted 48.0 Mhits, 53.1% done
sorted 49.0 Mhits, 54.2% done
sorted 50.0 Mhits, 55.3% done
sorted 51.0 Mhits, 56.4% done
sorted 52.0 Mhits, 57.5% done
sorted 53.0 Mhits, 58.6% done
sorted 54.0 Mhits, 59.7% done
sorted 55.0 Mhits, 60.8% done
sorted 56.0 Mhits, 61.9% done
sorted 57.0 Mhits, 63.0% done
sorted 58.0 Mhits, 64.1% done
sorted 59.0 Mhits, 65.2% done
sorted 60.0 Mhits, 66.3% done
sorted 61.0 Mhits, 67.4% done
sorted 62.0 Mhits, 68.6% done
sorted 63.0 Mhits, 69.7% done
sorted 64.0 Mhits, 70.8% done
sorted 65.0 Mhits, 71.9% done
sorted 66.0 Mhits, 73.0% done
sorted 67.0 Mhits, 74.1% done
sorted 68.0 Mhits, 75.2% done
sorted 69.0 Mhits, 76.3% done
sorted 70.0 Mhits, 77.4% done
sorted 71.0 Mhits, 78.5% done
sorted 72.0 Mhits, 79.6% done
sorted 73.0 Mhits, 80.7% done
sorted 74.0 Mhits, 81.8% done
sorted 75.0 Mhits, 82.9% done
sorted 76.0 Mhits, 84.0% done
sorted 77.0 Mhits, 85.1% done
sorted 78.0 Mhits, 86.2% done
sorted 79.0 Mhits, 87.3% done
sorted 80.0 Mhits, 88.5% done
sorted 81.0 Mhits, 89.6% done
sorted 82.0 Mhits, 90.7% done
sorted 83.0 Mhits, 91.8% done
sorted 84.0 Mhits, 92.9% done
sorted 85.0 Mhits, 94.0% done
sorted 86.0 Mhits, 95.1% done
sorted 87.0 Mhits, 96.2% done
sorted 88.0 Mhits, 97.3% done
sorted 89.0 Mhits, 98.4% done
sorted 90.0 Mhits, 99.5% done
sorted 90.4 Mhits, 100.0% done

total 210000 docs, 556643617 bytes

total 63.081 sec, 8824199 bytes/sec, 3329.02 docs/sec

total 110 reads, 0.262 sec, 2978.5 kb/call avg, 2.3 msec/call avg

total 2139 writes, 0.668 sec, 471.0 kb/call avg, 0.3 msec/call avg

rotating indices: successfully sent SIGHUP to searchd (pid=1).

